customAuthorName,title_s,publicationDate_s,instStructName_s
Yves Dumond,Modelling enterprise using concurrent engineering paradigms,1997,"Université Savoie Mont Blanc, Université Joseph Fourier - Grenoble 1, Institut National Polytechnique de Grenoble"
Yves Dumond,Modelling the fight against forest fires by means of a numerical battlefield,2006-10,Université Savoie Mont Blanc
Yves Dumond,LRO3: un modèle pour la programmation par objets parallèle,1993,"Université Savoie Mont Blanc, Université Gaston Berger de Saint-Louis Sénégal, Institut de Recherche pour le Développement, Université Pierre et Marie Curie - Paris 6, Institut de la francophonie pour l'informatique, Université Cheikh Anta Diop de Dakar [Sénégal], Université de Caen Normandie, École Nationale Supérieure d'Ingénieurs de Caen"
Yves Dumond,Une démarche ontoterminologique pour la rétro-ingénierie de logiciels,2015-06-10,"Université Savoie Mont Blanc, IRISBUS France"
Laurent Foulloy,Application d’un modèle flou de performance temporelle à l’amélioration du TRS,2017-05-03,Université Savoie Mont Blanc
Laurent Foulloy,Prise en compte de la sincérité et de la pertinence d’un décideur dans la déclaration d’objectifs industriels : une modélisation par la théorie des possibilités,2015-02-25,"Université Savoie Mont Blanc, IMT - MINES ALES"
Laurent Foulloy,Thick gradual sets and their computations: Application for determining the uncertain zone explored by an underwater robot,2021-06,"Université Savoie Mont Blanc, École Nationale d'Ingénieurs de Brest, Université de Bretagne Sud, Université de Brest, École Nationale Supérieure de Techniques Avancées Bretagne, IMT Atlantique, École Nationale Supérieure de Techniques Avancées Bretagne"
Laurent Foulloy,Integrating expert knowledge into industrial control structures,2003,Université Savoie Mont Blanc
Laurent Foulloy,A new transformation of continuous unimodal asymmetric probability distributions into possibility distributions,2021-01,Université Savoie Mont Blanc
Laurent Foulloy,Commande floue 1 : de la stabilisation à la supervision,2003-02,Université Savoie Mont Blanc
Laurent Foulloy,Fuzzy Input-Output Linearization of Nonlinear Systems,1997-09,Université Savoie Mont Blanc
Laurent Foulloy,Towards the adaptive laser robot,1984-10,"Université Paris-Sud - Paris 11, Université Savoie Mont Blanc"
Laurent Foulloy,Three stage algorithm for recognizing stable states and reorienting a workpiece,1983-11,Université Savoie Mont Blanc
Laurent Foulloy,Fuzzy Sensor for Fuzzy Control,1992-07,Université Savoie Mont Blanc
Sylvie Galichet,Simultaneous learning of rules and linguistic terms,1996-09,Université Savoie Mont Blanc
Sylvie Galichet,On Joint Parameterizations of Linear and Nonlinear Functionals in Neural Networks,2023-03,"Université Savoie Mont Blanc, École Nationale d'Ingénieurs de Brest, Université de Bretagne Sud, Université de Brest, École Nationale Supérieure de Techniques Avancées Bretagne, IMT Atlantique, IMT Atlantique"
Sylvie Galichet,Opérateurs Min et Max pour intervalles graduels,2018-11,Université Savoie Mont Blanc
Sylvie Galichet,"Words or numbers, Mamdani or Sugeno fuzzy systems: a comparative study",2006-07,Université Savoie Mont Blanc
Sylvie Galichet,Mould Pouring Control based on Absorption Capacity Identification,2007-10,Université Savoie Mont Blanc
Sylvie Galichet,"De la régression floue conventionnelle à la régression graduelle : Analyse, réflexion et perspectives. Partie 1 : vision intervalliste",2017-10,Université Savoie Mont Blanc
Sylvie Galichet,Fuzzy Controllers: Synthesis and Equivalences,1995,Université Savoie Mont Blanc
Sylvie Galichet,Fuzzy Sensor for Fuzzy Control,1994,Université Savoie Mont Blanc
Sylvie Galichet,"Fuzzy Control of Fuzzy Interval Systems, Part I: Solving First Order Fuzzy Equations",2004-07,Université Savoie Mont Blanc
Sylvie Galichet,Application of Fuzzy Logic Control for Continuous Casting Mold Level Control,1998,Université Savoie Mont Blanc
Guillaume Ginolhac,Robust Geometric Metric Learning,2022,"ONERA, CentraleSupélec, Université Paris-Saclay, Université Paris Nanterre, Université Savoie Mont Blanc, ONERA, Université Paris-Saclay"
Guillaume Ginolhac,ON THE USE OF GEODESIC TRIANGLES BETWEEN GAUSSIAN DISTRIBUTIONS FOR CLASSIFICATION PROBLEMS,2022-05-22,"ONERA, CentraleSupélec, Université Paris-Saclay, CentraleSupélec, Université Paris-Saclay, Université Savoie Mont Blanc, Université Paris Nanterre, ONERA, Université Paris-Saclay"
Guillaume Ginolhac,A Robust Change Detector for Highly Heterogeneous Multivariate Images,2018-04-15,"ONERA, CentraleSupélec, Université Paris Saclay (COmUE), ONERA, Université Paris Saclay (COmUE), Université Savoie Mont Blanc"
Guillaume Ginolhac,Random matrix theory applied to low rank STAP detection,2013-06-10,"ONERA, CentraleSupélec, Université Paris Saclay (COmUE), Université Savoie Mont Blanc"
Guillaume Ginolhac,Robust rank constrained kronecker covariance matrix estimation,2016,"Université Paris Nanterre, Center for Condensed Matter and Materials Physics, Department of Physics, Beihang University, Beijing, Hong Kong University of Science and Technology, Université Savoie Mont Blanc"
Guillaume Ginolhac,Covariance fitting based InSAR Phase Linking,2023-07-17,"ONERA, Université Paris-Saclay, Université Paris Nanterre, ONERA, Université Paris-Saclay, Université Savoie Mont Blanc"
Guillaume Ginolhac,On-line Kronecker Product Structured Covariance Estimation with Riemannian geometry for t-distributed data,2021-08-23,"CentraleSupélec, Université Paris-Saclay, Université Paris Nanterre, Université Savoie Mont Blanc"
Guillaume Ginolhac,Riemannian geometry for compound Gaussian distributions: Application to recursive change detection,2020-11,"Université Savoie Mont Blanc, ONERA, CentraleSupélec, Université Paris-Saclay, Université Sciences et Technologies - Bordeaux 1, Institut Polytechnique de Bordeaux"
Guillaume Ginolhac,"Une nouvelle décomposition tensorielle orthogonale, l'Alternative Unfolding HOSVD. Application au STAP Polarimétrique",2013-09-03,"École normale supérieure - Cachan, Université Paris-Sud - Paris 11, Institut Français des Sciences et Technologies des Transports, de l'Aménagement et des Réseaux, École normale supérieure - Rennes, Université de Cergy Pontoise, Conservatoire National des Arts et Métiers [CNAM], Université Savoie Mont Blanc, ONERA, CentraleSupélec, Université Paris Saclay (COmUE)"
Guillaume Ginolhac,PERFORMANCE ANALYSIS OF A LOW-RANK DETECTOR UNDER TRAINING DATA CONTAMINATION,2019-12-15,"Université Sciences et Technologies - Bordeaux 1, Institut Polytechnique de Bordeaux, Université Savoie Mont Blanc, Université Paris-Sud - Paris 11, CentraleSupélec, Université Paris Nanterre, École normale supérieure - Rennes, Conservatoire National des Arts et Métiers [CNAM], Université Paris-Saclay, Ecole Normale Supérieure  Paris-Saclay, Université Gustave Eiffel, CY Cergy Paris Université"
Patrick Lambert,IRIM at TRECVID 2013: Semantic Indexing and Instance Search,2013,"Commissariat à l'énergie atomique et aux énergies alternatives, Ecole Nationale Supérieure de l'Electronique et de ses Applications, CY Cergy Paris Université, Eurecom [Sophia Antipolis], Université de Bordeaux, École Nationale Supérieure d'Électronique, Informatique et Radiocommunications de Bordeaux (ENSEIRB), Université de la Méditerranée - Aix-Marseille 2, Université de Provence - Aix-Marseille 1, Université Pierre Mendès France - Grenoble 2, Université Joseph Fourier - Grenoble 1, Institut polytechnique de Grenoble - Grenoble Institute of Technology, Institut National Polytechnique de Grenoble, Université Pierre Mendès France - Grenoble 2, Université Joseph Fourier - Grenoble 1, Institut polytechnique de Grenoble - Grenoble Institute of Technology, Institut National Polytechnique de Grenoble, Université Lumière - Lyon 2, École Centrale de Lyon, Université Claude Bernard Lyon 1, Institut National des Sciences Appliquées de Lyon, Université Lumière - Lyon 2, École Centrale de Lyon, Université Claude Bernard Lyon 1, Institut National des Sciences Appliquées de Lyon, Université Savoie Mont Blanc"
Patrick Lambert,"Système de Vision, revue Traitement du signal, Volume 24, N°5",2007,"La Rochelle Université, Université de Caen Normandie, École Nationale Supérieure d'Ingénieurs de Caen, Université Savoie Mont Blanc"
Patrick Lambert,GammaLearn - first steps to apply Deep Learning to the Cherenkov Telescope Array data,2019,"Institut National de Physique Nucléaire et de Physique des Particules du CNRS, Université Savoie Mont Blanc, Université Savoie Mont Blanc"
Patrick Lambert,PDE Based Enhancement of Color Images in RGB Space,2012-05-01,"Université des sciences et de la Technologie d'Oran Mohamed Boudiaf [Oran], Université Savoie Mont Blanc"
Patrick Lambert,Retina enhanced bag of words descriptors for video classification,2014-09-02,Université Savoie Mont Blanc
Patrick Lambert,Deep Learning vs Spectral Clustering into an active clustering with pairwise constraints propagation,2016,"Université Savoie Mont Blanc, University Politehnica of Bucharest [Romania]"
Patrick Lambert,The Cut Detection Issue in the Animation Movie Domain,2007,"Université Savoie Mont Blanc, Polytechnic University of Bucharest = Université Politehnica de Bucarest = Universitatea POLITEHNICA din București"
Patrick Lambert,Rushes summarization by IRIM consortium: redundancy removal and multi-feature fusion,2008-10-31,"Université Pierre Mendès France - Grenoble 2, Université Joseph Fourier - Grenoble 1, Institut polytechnique de Grenoble - Grenoble Institute of Technology, Institut National Polytechnique de Grenoble, Université Pierre Mendès France - Grenoble 2, Université Joseph Fourier - Grenoble 1, Institut polytechnique de Grenoble - Grenoble Institute of Technology, Institut National Polytechnique de Grenoble, Université de Bordeaux, École Nationale Supérieure d'Électronique, Informatique et Radiocommunications de Bordeaux (ENSEIRB), Université Pierre et Marie Curie - Paris 6, Ecole Nationale Supérieure de l'Electronique et de ses Applications, CY Cergy Paris Université, Université Savoie Mont Blanc, Université de Limoges, Université de Poitiers =  University of Poitiers, Université Pierre Mendès France - Grenoble 2, Université Stendhal - Grenoble 3, Université Joseph Fourier - Grenoble 1, Institut polytechnique de Grenoble - Grenoble Institute of Technology, Université Lumière - Lyon 2, École Centrale de Lyon, Université Claude Bernard Lyon 1, Institut National des Sciences Appliquées de Lyon"
Patrick Lambert,IRIM at TRECVID 2010: High Level Feature Extraction and Instance Search,2010,"Ecole Nationale Supérieure de l'Electronique et de ses Applications, CY Cergy Paris Université, CRIL Ingénierie, Université Pierre Mendès France - Grenoble 2, Université Stendhal - Grenoble 3, Université Joseph Fourier - Grenoble 1, Institut polytechnique de Grenoble - Grenoble Institute of Technology, Université Pierre Mendès France - Grenoble 2, Université Stendhal - Grenoble 3, Université Joseph Fourier - Grenoble 1, Institut polytechnique de Grenoble - Grenoble Institute of Technology, Université Paris-Sud - Paris 11, Université Paris-Saclay, Université Paris Saclay (COmUE), Université Toulouse Capitole, Université Toulouse - Jean Jaurès, Université Toulouse III - Paul Sabatier, Institut National Polytechnique (Toulouse), Université Toulouse - Jean Jaurès, Université Toulouse III - Paul Sabatier, Université de Bordeaux, École Nationale Supérieure d'Électronique, Informatique et Radiocommunications de Bordeaux (ENSEIRB), Université de Rennes, Institut National des Sciences Appliquées - Rennes, Institut National de Recherche en Informatique et en Automatique, Institut National de Recherche en Informatique et en Automatique, Université de la Méditerranée - Aix-Marseille 2, Université de Provence - Aix-Marseille 1, Université Pierre Mendès France - Grenoble 2, Université Joseph Fourier - Grenoble 1, Institut polytechnique de Grenoble - Grenoble Institute of Technology, Institut National Polytechnique de Grenoble, Institut d'Optique Graduate School, Université Jean Monnet - Saint-Étienne, Université Pierre Mendès France - Grenoble 2, Université Joseph Fourier - Grenoble 1, Institut polytechnique de Grenoble - Grenoble Institute of Technology, Institut National Polytechnique de Grenoble, Université Savoie Mont Blanc"
Patrick Lambert,IRIM at TRECVID 2016: Instance Search,2016-11-14,"Université de Bordeaux, École Nationale Supérieure d'Électronique, Informatique et Radiocommunications de Bordeaux (ENSEIRB), Université Paris-Sud - Paris 11, Université Paris-Saclay, Université Paris Saclay (COmUE), Université Savoie Mont Blanc, Institut polytechnique de Grenoble - Grenoble Institute of Technology, Université Grenoble Alpes [2016-2019]"
Faiza Loukil,Data Distribution Impact on Preserving Privacy in Centralized and Decentralized Learning,2023-07-12,Université Savoie Mont Blanc
Faiza Loukil,Early Detection of Diabetes Mellitus Using Differentially Private SGD in Federated Learning,2022-12-05,"Université de Sfax, Université Savoie Mont Blanc"
Faiza Loukil,Machine Learning for Text Anomaly Detection: A Systematic Review,2023,"Université Savoie Mont Blanc, Cegedim-SRH"
Faiza Loukil,A blockchain-based framework for circular end-of-life vehicle processing,2023-02-08,"Zayed University, Université Savoie Mont Blanc, Université Polytechnique Hauts-de-France, INSA Institut National des Sciences Appliquées Hauts-de-France"
Faiza Loukil,A Path Towards Fair and Equitable AI Advancing Bias Mitigation in Federated Learning,2023-07-02,Université Savoie Mont Blanc
Faiza Loukil,Strategic Integration of Context for Fine-Tuning Topic Model Performance,2024,"Université Savoie Mont Blanc, Cegedim"
Faiza Loukil,A Clustering Approach Combining Lines and Text Detection for Table Extraction,2023-08-24,"Université Savoie Mont Blanc, Cegedim-SRH"
Faiza Loukil,BELONG: Blockchain basEd pLatform fOr donation \& social project fuNdinG,2022-12-05,"Université Savoie Mont Blanc, Université Polytechnique Hauts-de-France, INSA Institut National des Sciences Appliquées Hauts-de-France"
Faiza Loukil,LLM-centric pipeline for information extraction from invoices,2024-11-26,"Université Savoie Mont Blanc, Cegedim"
Faiza Loukil,Privacy and Security in Federated Learning: A Survey,2022-10-01,"Université Savoie Mont Blanc, Université Savoie Mont Blanc"
Gilles Mauris,Fuzzy modelling of measurements acquired by an intelligent ultrasonic telemeter,1998-05,Université Savoie Mont Blanc
Gilles Mauris,Fuzzy Performance Indicators for Manufacturing Processes,1998,Université Savoie Mont Blanc
Gilles Mauris,Possibility transformation of the sum of two symmetric unimodal independent/comonotone random variables,2013-08-19,Université Savoie Mont Blanc
Gilles Mauris,Handling uncertainty in a MCDM Process for an e-business website choice support,2005,"IMT - MINES ALES, Université Savoie Mont Blanc, Université Savoie Mont Blanc"
Gilles Mauris,A diagnosis and monitoring support system for marketing activities,2006,"IMT - MINES ALES, Université Savoie Mont Blanc, Université Savoie Mont Blanc"
Gilles Mauris,Image Change Detection by Possibility Distribution Dissemblance,2017-07-09,"Université Savoie Mont Blanc, Université européenne de Bretagne - European University of Brittany, Télécom Bretagne, Université européenne de Bretagne - European University of Brittany, École Nationale d'Ingénieurs de Brest, Université de Bretagne Sud, Université de Brest, Télécom Bretagne, Université de Brest, École Nationale Supérieure de Techniques Avancées Bretagne"
Gilles Mauris,Possibility distributions: A unified representation of usual direct probability-based parameter estimation methods,2011-12-01,Université Savoie Mont Blanc
Gilles Mauris,Measurement Theory considerations in Fuzzy Sensors,1995-08,Université Savoie Mont Blanc
Gilles Mauris,Local measurement validation for an intelligent telemeter,1996-06,Université Savoie Mont Blanc
Gilles Mauris,Fuzzy sensor for the perception of colour,1994-06,Université Savoie Mont Blanc
Nicolas Méger,Connectivity constraint-based sequential pattern extraction from Satellite Image Time Series,2013-09-23,"Université Savoie Mont Blanc, Institute of Space Science [Bucharest-Măgurele]"
Nicolas Méger,Editorial,2013-09-02,Université Savoie Mont Blanc
Nicolas Méger,Suivi de l'érosion par imagerie satellite et fouille de données spatio-temporelles,2016,"Institut National des Sciences Appliquées de Lyon, Bluecham SAS [Nouméa], Université Savoie Mont Blanc, Université Lumière - Lyon 2, École Centrale de Lyon, Université Claude Bernard Lyon 1, Institut National des Sciences Appliquées de Lyon, Université Lumière - Lyon 2, École Centrale de Lyon, Université Claude Bernard Lyon 1, Institut National des Sciences Appliquées de Lyon, Institut National de Recherche en Informatique et en Automatique, Université Claude Bernard Lyon 1, VetAgro Sup - Institut national d'enseignement supérieur et de recherche en alimentation, santé animale, sciences agronomiques et de l'environnement, Université Lumière - Lyon 2, École Centrale de Lyon, Université Claude Bernard Lyon 1, Institut National des Sciences Appliquées de Lyon"
Nicolas Méger,Studying Evolution of Hydrothermal Alteration Materials in the Turrialba Volcano through Multispectral and Hyperspectral Images,2020,"Instituto Nacional de Técnica Aeroespacial, Universidad Politécnica de Madrid, Université Lumière - Lyon 2, École Centrale de Lyon, Université Claude Bernard Lyon 1, Institut National des Sciences Appliquées de Lyon, Université Lumière - Lyon 2, École Centrale de Lyon, Université Claude Bernard Lyon 1, Institut National des Sciences Appliquées de Lyon, Université Savoie Mont Blanc, Universidad de Costa Rica, Universidade Federal de Alagoas = Federal University of Alagoas"
Nicolas Méger,On mining pixel based evolution classes in satellite image time series,2008-03-06,"Université Savoie Mont Blanc, Université Politehnica [Bucarest, Roumanie]"
Nicolas Méger,A pattern-based mining system for exploring Displacement Field Time Series,2019-11-08,"Université Savoie Mont Blanc, Université Lumière - Lyon 2, École Centrale de Lyon, Université Claude Bernard Lyon 1, Institut National des Sciences Appliquées de Lyon, Université Lumière - Lyon 2, École Centrale de Lyon, Université Claude Bernard Lyon 1, Institut National des Sciences Appliquées de Lyon, Université Lumière - Lyon 2, École Centrale de Lyon, Université Claude Bernard Lyon 1, Institut National des Sciences Appliquées de Lyon, Institut National de Recherche en Informatique et en Automatique, Université Claude Bernard Lyon 1, VetAgro Sup - Institut national d'enseignement supérieur et de recherche en alimentation, santé animale, sciences agronomiques et de l'environnement, Université Lumière - Lyon 2, École Centrale de Lyon, Université Claude Bernard Lyon 1, Institut National des Sciences Appliquées de Lyon, University of Edinburgh"
Nicolas Méger,Explaining the decisions and the functioning of a convolutional spatiotemporal land cover classifier with channel attention and redescription mining,2024-09,"Université Savoie Mont Blanc, Université Savoie Mont Blanc, Institut National de Recherche en Informatique et en Automatique, Centre de Coopération Internationale en Recherche Agronomique pour le Développement, AgroParisTech, Institut National de Recherche pour l’Agriculture, l’Alimentation et l’Environnement, Centre de Coopération Internationale en Recherche Agronomique pour le Développement, AgroParisTech, Institut National de Recherche pour l’Agriculture, l’Alimentation et l’Environnement, Université de Rennes, Institut National des Sciences Appliquées - Rennes, Université de Bretagne Sud, École normale supérieure - Rennes, Institut National de Recherche en Informatique et en Automatique, CentraleSupélec, IMT Atlantique"
Nicolas Méger,Method for predicting a rotation fault in the rotor of a vacuum pump and associated pumping device,2010-12-29,Université Savoie Mont Blanc
Nicolas Méger,On Joint Parameterizations of Linear and Nonlinear Functionals in Neural Networks,2023-03,"Université Savoie Mont Blanc, École Nationale d'Ingénieurs de Brest, Université de Bretagne Sud, Université de Brest, École Nationale Supérieure de Techniques Avancées Bretagne, IMT Atlantique, IMT Atlantique"
Nicolas Méger,Extraction of Frequent Grouped Sequential Patterns from Satellite Image Time Series,2010-07-25,"Université Savoie Mont Blanc, Université Politehnica [Bucarest, Roumanie], Université Lumière - Lyon 2, École Centrale de Lyon, Université Claude Bernard Lyon 1, Institut National des Sciences Appliquées de Lyon, Université Lumière - Lyon 2, École Centrale de Lyon, Université Claude Bernard Lyon 1, Institut National des Sciences Appliquées de Lyon, Institut National de Recherche en Informatique et en Automatique, Université Claude Bernard Lyon 1, VetAgro Sup - Institut national d'enseignement supérieur et de recherche en alimentation, santé animale, sciences agronomiques et de l'environnement, Université Lumière - Lyon 2, École Centrale de Lyon, Université Claude Bernard Lyon 1, Institut National des Sciences Appliquées de Lyon, Institut national des sciences de l'Univers, École normale supérieure - Paris, Université Joseph Fourier - Grenoble 1, Institut polytechnique de Grenoble - Grenoble Institute of Technology, Institut national des sciences de l'Univers, Institut national de recherche en sciences et technologies pour l'environnement et l'agriculture, Université Savoie Mont Blanc, Laboratoire Central des Ponts et Chaussées, Institut de Recherche pour le Développement, University Politehnica of Bucharest [Romania]"
Ammar Mian,Nouvel algorithme d'inversion robuste pour le RADAR GPR,2022-09-06,"Université Savoie Mont Blanc, Université Savoie Mont Blanc, Groupe Géolithe"
Ammar Mian,An Overview of Covariance‐based Change Detection Methodologies in Multivariate SAR Image Time Series,2021-12-28,"Université Savoie Mont Blanc, ONERA, CentraleSupélec, Université Paris-Saclay, ONERA, Université Paris-Saclay, Université Paris Nanterre, CentraleSupélec, Université Paris-Saclay"
Ammar Mian,Riemannian geometry for compound Gaussian distributions: Application to recursive change detection,2020-11,"Université Savoie Mont Blanc, ONERA, CentraleSupélec, Université Paris-Saclay, Université Sciences et Technologies - Bordeaux 1, Institut Polytechnique de Bordeaux"
Ammar Mian,On-line Kronecker Product Structured Covariance Estimation with Riemannian geometry for t-distributed data,2021-08-23,"CentraleSupélec, Université Paris-Saclay, Université Paris Nanterre, Université Savoie Mont Blanc"
Ammar Mian,Designing Sar Images Change-point Estimation Strategies Using an Mse Lower Bound,2019-05-12,"ONERA, CentraleSupélec, Université Paris Saclay (COmUE), Université Paris-Sud - Paris 11, CentraleSupélec, Université Savoie Mont Blanc, ONERA, Université Paris Saclay (COmUE)"
Ammar Mian,A Robust Change Detector for Highly Heterogeneous Multivariate Images,2018-04-15,"ONERA, CentraleSupélec, Université Paris Saclay (COmUE), ONERA, Université Paris Saclay (COmUE), Université Savoie Mont Blanc"
Ammar Mian,Détection de Changement Robuste en Rang Faible pour les Séries Temporelles d'Images SAR,2019-08-26,"ONERA, CentraleSupélec, Université Paris Saclay (COmUE), Université Paris Nanterre, Université Savoie Mont Blanc, ONERA, Université Paris Saclay (COmUE)"
Ammar Mian,New Robust Statistics for Change Detection in Time Series of Multivariate SAR Images,2019-01-15,"ONERA, CentraleSupélec, Université Paris Saclay (COmUE), Université Savoie Mont Blanc, ONERA, Université Paris Saclay (COmUE)"
Ammar Mian,Robust Low-rank Change Detection for SAR Image Time Series,2020,"ONERA, CentraleSupélec, Université Paris-Saclay, Aalto University, Université Paris Nanterre, Université Savoie Mont Blanc, ONERA, Université Paris-Saclay"
Ammar Mian,Classification of GPR Signals via Covariance Pooling on CNN Features within a Riemannian Framework,2022-09-28,"Université Savoie Mont Blanc, Université Savoie Mont Blanc, Groupe Géolithe"
Sébastien Monnet,Towards a Semantic Model for Wise Systems - A Graph Matching Algorithm,2022-11-12,Université Savoie Mont Blanc
Sébastien Monnet,Data Warehousing Process Modeling from Classical Approaches to New Trends: Main Features and Comparisons,2022,"Université Savoie Mont Blanc, École supérieure d'électronique de l'ouest [Angers]"
Sébastien Monnet,A Multi-Layer Modeling for the Generation of New Architectures for Big Data Warehousing,2022-04-13,"University of Tunis El Manar, Université Savoie Mont Blanc, École supérieure d'électronique de l'ouest [Angers]"
Sébastien Monnet,Analysis of a Stochastic Model of Replication in Large Distributed Storage Systems,2017-06-13,"Université Pierre et Marie Curie - Paris 6, Université Paris Diderot - Paris 7, Institut National de Recherche en Informatique et en Automatique, Université Pierre et Marie Curie - Paris 6, Institut National de Recherche en Informatique et en Automatique, Université Savoie Mont Blanc, Institut National de Recherche en Informatique et en Automatique"
Sébastien Monnet,A Graph Matching Algorithm to Extend Software Wise Systems with Human Semantic,2023,"Université Savoie Mont Blanc, Université Savoie Mont Blanc"
Sébastien Monnet,A new software architecture for the Wise Object Framework: Multidimensional Separation of Concerns,2022-07-11,"SaGa Corp, Paris, France, Université Savoie Mont Blanc"
Sébastien Monnet,Analysis of a Stochastic Model of Replication in Large Distributed Storage Systems: A Mean-Field Approach,2017-06-05,"Institut National de Recherche en Informatique et en Automatique, Université Pierre et Marie Curie - Paris 6, Institut National de Recherche en Informatique et en Automatique, Université Savoie Mont Blanc, Université Savoie Mont Blanc"
Sébastien Monnet,Toward heterogeneity-aware device-to-device data dissemination over Wi-Fi networks,2017-12,"Université Pierre et Marie Curie - Paris 6, Institut National de Recherche en Informatique et en Automatique, Magency, Université Savoie Mont Blanc, Université Savoie Mont Blanc, Université Pierre et Marie Curie - Paris 6"
Sébastien Monnet,ACDC : Advanced Consolidation for Dynamic Containers,2017-10-30,"Université Pierre et Marie Curie - Paris 6, Institut National de Recherche en Informatique et en Automatique, Université Savoie Mont Blanc"
Sébastien Monnet,How to use the past to face the future?,2020,"École normale supérieure de Lyon, Université Claude Bernard Lyon 1, Institut National de Recherche en Informatique et en Automatique, Université Savoie Mont Blanc, École normale supérieure de Lyon, Université Claude Bernard Lyon 1, Institut National de Recherche en Informatique et en Automatique, Institut National de Recherche en Informatique et en Automatique"
